formatted_datetime,chop,args.T,args.T_short,args.randomInit_train,args.randomInit_test,KnownRandInit_train ,r2,m1x_0,m2x_0,m2x_0_gen,std_gen,std_feed,MSE_EKF_dB_avg,MSE_EKF_dB_avg_partial,MSE_test_dB_avg
20240704_2227,True,100,30,True,True,False,tensor([0.1000]),"tensor([[20.],
        [ 5.],
        [ 1.]])","tensor([[400.,   0.,   0.],
        [  0., 400.,   0.],
        [  0.,   0., 400.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-18.9858),tensor(-16.0970),tensor(13.1562)
20240705_0837,True,100,30,True,True,False,tensor([0.1000]),"tensor([[20.],
        [ 5.],
        [ 1.]])","tensor([[400.,   0.,   0.],
        [  0., 400.,   0.],
        [  0.,   0., 400.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-18.9931),tensor(-16.1044),tensor(8.9477)
20240705_0917,True,100,30,True,True,False,tensor([0.1000]),"tensor([[20.],
        [ 5.],
        [ 1.]])","tensor([[400.,   0.,   0.],
        [  0., 400.,   0.],
        [  0.,   0., 400.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-18.9243),tensor(-16.1352),tensor(16.2883)
20240710_1111,False,100,100,True,True,False,tensor([0.1000]),"tensor([[20.],
        [ 5.],
        [ 1.]])","tensor([[400.,   0.,   0.],
        [  0., 400.,   0.],
        [  0.,   0., 400.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-19.1163),tensor(-14.6769),tensor(-17.4137)
20240711_1411,False,100,100,True,True,False,tensor([0.1000]),"tensor([[10.],
        [ 5.],
        [ 2.]])","tensor([[25.,  0.,  0.],
        [ 0.,  4.,  0.],
        [ 0.,  0.,  9.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-18.0920),tensor(4.4031),tensor(-12.3199)
20240711_1544,False,100,100,True,True,False,tensor([0.1000]),"tensor([[10.],
        [ 5.],
        [ 2.]])","tensor([[25.,  0.,  0.],
        [ 0.,  4.,  0.],
        [ 0.,  0.,  9.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-18.0445),tensor(4.1302),tensor(-10.7764)
20240711_1559,False,100,100,True,True,False,tensor([0.1000]),"tensor([[10.],
        [ 5.],
        [ 2.]])","tensor([[25.,  0.,  0.],
        [ 0.,  4.,  0.],
        [ 0.,  0.,  9.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,20,tensor(-18.2681),tensor(4.2615),tensor(-15.9623)
20240712_2139,False,100,100,True,True,False,tensor([0.1000]),"tensor([[-50.],
        [ -5.],
        [  1.]])","tensor([[25.,  0.,  0.],
        [ 0., 25.,  0.],
        [ 0.,  0., 25.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,5,tensor(-17.6409),tensor(4.1674),tensor(nan)
20240712_2144,False,100,100,True,True,False,tensor([0.1000]),"tensor([[-50.],
        [ -5.],
        [  1.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,3,tensor(-15.4617),tensor(4.2747),tensor(5.8456)
20240713_0858,False,100,100,True,True,False,tensor([0.1000]),"tensor([[5.],
        [2.],
        [1.]])","tensor([[2.9241, 0.0000, 0.0000],
        [0.0000, 2.9241, 0.0000],
        [0.0000, 0.0000, 2.9241]])","tensor([[9., 0., 0.],
        [0., 9., 0.],
        [0., 0., 9.]])",3,1.71,tensor(-18.9672),tensor(-16.1009),tensor(-17.8610)
